blot_label,source_plate_id,source_plate_row,source_plate_column
L3,Anti-Yo_1,L,3
L4,Anti-Yo_1,L,4
L5,Anti-Yo_1,L,5
L6,Anti-Yo_1,L,6
L7,Anti-Yo_1,L,7
L8,Anti-Yo_1,L,8
L9,Anti-Yo_1,L,9
L10,Anti-Yo_1,L,10
L11,Anti-Yo_1,L,11
L12,Anti-Yo_1,L,12
L13,Anti-Yo_1,L,13
L14,Anti-Yo_1,L,14
L15,Anti-Yo_1,L,15
L16,Anti-Yo_1,L,16
L17,Anti-Yo_1,L,17
L18,Anti-Yo_1,L,18
L19,Anti-Yo_1,L,19
L20,Anti-Yo_1,L,20
L21,Anti-Yo_1,L,21
L22,Anti-Yo_1,L,22
L23,Anti-Yo_1,L,23
L24,Anti-Yo_1,L,24
M1,Anti-Yo_1,M,1
M2,Anti-Yo_1,M,2
M3,Anti-Yo_1,M,3
M4,Anti-Yo_1,M,4
M5,Anti-Yo_1,M,5
M6,Anti-Yo_1,M,6
M7,Anti-Yo_1,M,7
M8,Anti-Yo_1,M,8
M9,Anti-Yo_1,M,9
M10,Anti-Yo_1,M,10
M11,Anti-Yo_1,M,11
M12,Anti-Yo_1,M,12
M13,Anti-Yo_1,M,13
M14,Anti-Yo_1,M,14
M15,Anti-Yo_1,M,15
M16,Anti-Yo_1,M,16
M17,Anti-Yo_1,M,17
M18,Anti-Yo_1,M,18
M19,Anti-Yo_1,M,19
M20,Anti-Yo_1,M,20
M21,Anti-Yo_1,M,21
M22,Anti-Yo_1,M,22
M23,Anti-Yo_1,M,23
M24,Anti-Yo_1,M,24
N1,Anti-Yo_1,N,1
N2,Anti-Yo_1,N,2
N3,Anti-Yo_1,N,3
N4,Anti-Yo_1,N,4
N5,Anti-Yo_1,N,5
N6,Anti-Yo_1,N,6
N7,Anti-Yo_1,N,7
N8,Anti-Yo_1,N,8
N9,Anti-Yo_1,N,9
N10,Anti-Yo_1,N,10
N11,Anti-Yo_1,N,11
N12,Anti-Yo_1,N,12
N13,Anti-Yo_1,N,13
N14,Anti-Yo_1,N,14
N15,Anti-Yo_1,N,15
N16,Anti-Yo_1,N,16
N17,Anti-Yo_1,N,17
N18,Anti-Yo_1,N,18
N19,Anti-Yo_1,N,19
N20,Anti-Yo_1,N,20
N21,Anti-Yo_1,N,21
N22,Anti-Yo_1,N,22
N23,Anti-Yo_1,N,23
N24,Anti-Yo_1,N,24
O1,Anti-Yo_1,O,1
O2,Anti-Yo_1,O,2
O3,Anti-Yo_1,O,3
O4,Anti-Yo_1,O,4
O5,Anti-Yo_1,O,5
O6,Anti-Yo_1,O,6
O7,Anti-Yo_1,O,7
O8,Anti-Yo_1,O,8
O9,Anti-Yo_1,O,9
O10,Anti-Yo_1,O,10
O11,Anti-Yo_1,O,11
O12,Anti-Yo_1,O,12
O13,Anti-Yo_1,O,13
O14,Anti-Yo_1,O,14
O15,Anti-Yo_1,O,15
O16,Anti-Yo_1,O,16
O17,Anti-Yo_1,O,17
O18,Anti-Yo_1,O,18
O19,Anti-Yo_1,O,19
O20,Anti-Yo_1,O,20
O21,Anti-Yo_1,O,21
O22,Anti-Yo_1,O,22
O23,Anti-Yo_1,O,23
O24,Anti-Yo_1,O,24
P1,Anti-Yo_1,P,1
P2,Anti-Yo_1,P,2
P3,Anti-Yo_1,P,3
P4,Anti-Yo_1,P,4
P5,Anti-Yo_1,P,5
P6,Anti-Yo_1,P,6
P7,Anti-Yo_1,P,7
P8,Anti-Yo_1,P,8
P9,Anti-Yo_1,P,9
P10,Anti-Yo_1,P,10
P11,Anti-Yo_1,P,11
P12,Anti-Yo_1,P,12
P13,Anti-Yo_1,P,13
P14,Anti-Yo_1,P,14
P15,Anti-Yo_1,P,15
P16,Anti-Yo_1,P,16
P17,Anti-Yo_1,P,17
P18,Anti-Yo_1,P,18
P19,Anti-Yo_1,P,19
P20,Anti-Yo_1,P,20
P21,Anti-Yo_1,P,21
P22,Anti-Yo_1,P,22
P23,Anti-Yo_1,P,23
P24,Anti-Yo_1,P,24
